Bidding Date,Project Title,Fund Source,Participating Bidders,Winning Bidder,Winning Bid Amount,Contract or Purchase Order (Reference No. and Date),,,,,,,
12/11/2024,"Vacuum Circuit Recloser 630Amps. 12.5KA, 15KV 3 Phase outdoor type, 60 Hz",General Fund,CDO Electrocare Corporation/Centrade Integrated Sales Corp/AsiaPhil Incorporated,Centrade Integrated Sales Corp," 1,300,000.00 ","P.O 006143 December 17, 2024 RIV-028869",,,,,,,
12/17/2024,APEX Laboratory Package,General Fund,"Choice Lab Medical and Diagnostic Clinic/Adventist Medical Center and Don Carlos Health Check Diagnostics, Inc.","Don Carlos Health Check Diagnostics, Inc."," 717,000.00 ","P.O 006146 December 19, 2024 RIV-028828",,,,,,,
12/23/2024,Collection Receipt (Power Bill Receipt),General Fund,22 Karats Printing and Publishing House/Solid Printing Press/GPH Printer,22 Karats Printing and Publishing House," 960,000.00 ","P.O 006154 December 23, 2024 RIV-028877",,,,,,,
1/3/2025," Transformer, Pole Type, Amorphous, 37.5 KVA, 15 KVA, 25 KVA, 50 KVA, 7620/240V. (unit) ",General Fund, Central Integrated Sales Corp./RCCC Trading & Electrical Supply/DYNASTY ELECTRICAL & INDUSTRIAL SUPPLIES TRADING , RCCC Trading & Electrical Supply ," 1,637,240.00 ", RIV-029020 ,,,,,,,
1/6/2025, Pole Lines Hardwares ,General Fund," Kupler Industries, Inc./PARALLEL GROOVE INDUSTRIAL CORP./TRADEWELL CONSTRUCTION & ELECTRICAL SUPPLY "," kupler Industries, Inc., PARALLEL GROOVE INDUSTRIAL CORP., TRADEWELL CONSTRUCTION & ELECTRICAL SUPPLY "," 67,800.00, 20,480.00, 127,440.00 ", RIV-028439 ,,,,,,,
1/6/2025," Loading, Transporting & Unloading of rented 10/12.5 MVA Power transformer of BUSECO from Palma Substation @ Palma, Kibawe Bukidnon to Poblacion, Libona Bukidnon (lot) ", General Fund , Maramag Hardware and General Merchandise/4A INDUSTRIAL SERVICES & SUPPLY/CDO ELECTROCARE CORPORATION , CDO ELECTROCARE CORPORATION ," 705,600.00 ", RIV-028265 ,,,,,,,
1/22/2025," Thermal Paper POS 80 x 45 mm 1 ply (with FIBECO logo, Website and Contact Number) ", General Fund , CN OFFICE SUPPLIES/DOMINUS I.T. COMPUTER TRADING/PAPERMAXX SCHOOL AND OFFICE SUPPLIES TRADING , DOMINUS I.T. COMPUTER TRADING ," 1,570,725.00 ", RIV-029165 ,,,,,,,
2/5/2025," EDMI, Ethernet Modern, model: EDMW107SR ", General Fund , EDMI Philippines Inc./DNDG ELECTRICAL CORPORATION/DOMINUS I.T. COMPUTER TRADING , EDMI Philippines Inc. ," 375,000.00 ", RIV-028720 ,,,,,,,
2/5/2025, Collection Receipt (Power Bill Receipt) , General Fund , GPH PRINTER/New Solid Printing Services/22 Karats Printing and Publishing House , 22 Karats Printing and Publishing House ," 1,071,000.00 ", RIV-029346 ,,,,,,,
2/14/2025," Conductor, Duplex #6 AWG (Meter) ", General Fund ," Kupler Industries, Inc./SANGREE INDUSTRIAL SALES, INC./ PELICAN INDUSTRIAL SALES CORPORATION "," SANGREE INDUSTRIAL SALES, INC. "," 222,500.00 ", RIV-029478 ,,,,,,,
2/14/2025, Ink and Toner , General Fund , TECHNOMART COMPUTER & CONSUMER ELECTRONICS/Upgrade Computer Shoppe/Octagon Computer Superstore , Upgrade Computer Shoppe ," 396,020.00 ", RIV-029213 ,,,,,,,
2/26/2025," Transformer, Pole Type, Amorphous, 15 KVA, 37.5 KVA, 25 KVA, 50 KVA, 7620/240 V. ", General Fund ," PELICAN INDUSTRIAL SALES CORPORATION/SANGREE INDUSTRIAL SALES, INC./TRADEWELL CONSTRUCTION & ELECTRICAL SUPPLY/RCC Trading & Electrical supply ", RCCC Trading & Electrical Supply ," 1,771,250.00 ", RIV-029705 ,,,,,,,
2/26/2025, Cont. Form , General Fund , Upgrade Computer Shoppe/Valencia Copy Center/MOSTACO MARKETING , Upgrade Computer Shoppe ," 439,650.00 ", RIV-029274 ,,,,,,,
3/5/2025, HOODY SWEAT SHIRT W/ LOGO AND REFLECTOR , General Fund , MARCYS CORPORATION/ BIBWAK OUTDOOR SHOP/ EA DIGITAL PRINTING SERVICES , MARCYS CORPORATION ," 793,260.00 ", RIV-029676 ,,,,,,,
3/12/2025," Anchor, Expanding, 10,000 Pounds, 8 Way, Galvanized Steel ", General Fund ," Kupler Industries, Inc./Digos RJS ELECTRICAL & GENERAL MERCHANDISE/PELICAN INDUSTRIAL SALES CORPORATION/Centrade Integrated Sales Corp. "," Kupler Industries, Inc.,Digos RJS ELECTRICAL & GENERAL MERCHANDISE "," 77,600.00, 698,872.00 ", RIV-029876 ,,,,,,,
3/12/2025," Link, Fuse, Universal, Bottom Head, Type K ", General Fund ," Kupler Industries, Inc./Centrade Integrated Sales Corp./PELICAN INDUSTRIAL SALES CORPORATION ", Centrade Integrated Sales Corp. ," 292,600.00 ", RIV-029893 ,,,,,,,
3/18/2025," AGMA SOUVENIR PROGRAM (ORDINARY COPY) COVER: FULL COLOR COATED 100 IBS INSIDE PAGES: BOOK PAPER 60 IBS WITH 36 PAGES BLACK & WHITE, MAX OF 100 PAGES INCLUDING FRONT & BACK COVER, STAPLE ", General Fund , GPH PRINTER/New Solid Printing Services/22 Karats Printing and Publishing House , 22 Karats Printing and Publishing House ," 590,000.00 ", RIV-025910 ,,,,,,,
4/11/2025, Ink and Toner ,General Fund, Upgrade Computer Shoppe/TECHNOMART COMPUTER & CONSUMER ELECTRONICS/Octagon Computer Superstore , Upgrade Computer Shoppe ," 1,796,200.00 ", RIV-029459 ,,,,,,,
4/23/2025, OFFICE SUPPLY , General Fund , MCS1 PAPER OFFICE AND SCHOOL SUPPLIES TRADING/FLOYD GENERAL MERCHANDISE/EXECOM ENTERPRISE ," MCS1 PAPER OFFICE AND SCHOOL SUPPLIES TRADING, FLOYD GENERAL MERCHANDISE, EXECOM ENTERPRISE "," 380,144.00, 709,577.50, 48,100.00 ", RIV-029456 ,,,,,,,
4/23/2025," Transformer, Pole Type, Amorphous, 37.5 KVA, 75 KVA, 15 KVA, 25 KVA, 50 KVA, 7620/240V. ", General Fund ," RCC Trading & Electrical Supply/Kupler Industries, Inc./DNQ Electrical Services ", RCCC Trading & Electrical Supply ," 1,814,900.00 ", RIV-030318 ,,,,,,,
5/22/2025," Link, Fuse, Universal, Bottom Head, Type K ", General Fund ," CEPALCO ENERGY SERVICES CORPORATION/Kupler Industries, Inc./JCLM Electrical and Industrial Supplies Trading/PARALLEL GROOVE INDUSTRIAL CORP. ", JCLM Electrical and Industrial SUpplies Trading ," 547,300.00 ", RIV-030489 ,,,,,,,
6/5/2025, Collection Receipt (Power Bill Receipt) , General Fund , GPH Printer/New Solid Printing Services/22 Karats Printing and Publishing House , 22 Karats Printing and Publishing House ," 1,904,000.00 ", RIV-029460 ,,,,,,,
6/9/2025," Thermal Paper POS 80 x 45 mm 1 ply (with FIBECO logo, Website and Contact Number) ", General Fund , CN Office Supplies/Dominus I.T. Computer Trading/Papermaxx School and Office Supplies Trading , Dominus I.T. Computer Trading ," 530,287.50 ", RIV-030650 ,,,,,,,
6/10/2025," Transformer, Pole Type, Amorphous, 37.5 KVA, 25 KVA, 50 KVA, 7620/240 V. ", General Fund ," DND Electrical Corporation/UP Marketing/RCC Trading & Electrical Supply/Parallel Groove Industrial Corp./Sangree Industrial Sales, Inc. ", RCCC Trading & Electrical Supply ," 1,888,500.00 ", RIV-030649 ,,,,,,,
6/10/2025, Network Firewall License , General Fund , One Depot/Infinitecare Technology Solutions Inc./Dominus I.T. Computer Trading , Infinitecare Technology Solutions Inc. ," 620,100.00 ", RIV-029826 ,,,,,,,
7/11/2025," Link, Fuse, Universal, Bottom Head, Type K ", General Fund ," HI-TEMP Builders Corporation/Sangree Industrial Sales, Inc./Kupler Industries, Inc. ", HI-TEMP Builders Corporation ," 495,510.00 ", RIV-030943 ,,,,,,,
7/16/2025," PMS, Power Transformer, & Protections of Power Transformer ", General Fund ," CDO Electrocare Corporation/Elektron Energy Solution Corporation/Kupler Industries, Inc. ", Elektron Energy Solution Corporation ," 1,917,000.00 ", RIV-030882 ,,,,,,,
7/29/2025, Power FUSE , General Fund , BBA Electrocare Corporation/UP Marketing/DNQ Electrical Services/RCCC Trading & Electrical Supply , RCCC Trading & Electrical Supply ," 402,000.00 ", RIV-030853 ,,,,,,,
8/1/2025," Transformer, Pole Type, Amorphous, 15 KVA, 50 KVA, 7620/240V ", General Fund , DNQ Electrical Services/UP Marketing/BBA Electrocare Corporation/RCCC Trading & Electrical Supply , RCCC Trading & Electrical Supply ," 1,002,600.00 ", RIV-031390 ,,,,,,,
8/6/2025, Hiber Optic Cable 12 Core Single Mode Figure 8 (m) ,General Fund," Commsource Systems and Integrated Solutions, Inc./Dominus I.T. Computer Trading/ Ian Computer Parts and Accessories Shop/Microtech Computer Peripheral Equipment Wholesaling ", Dominus I.T. Computer Trading ," 173,010.00 ", RIV-030988 ,,,,,,,
10/31/2025, Transport Services , General Fund , Elektron Energy Solution Corporation/Suyao Trucking Services/CDO Electrocare Corporation , Elektron Energy Solution Corporation ," 635,000.00 ", RIV-032361 ,,,,,,,
12/9/2025, Refurbishment of 10MVA Power Transformer , General Fund , Elektron Energy Solution Corporation/Golden Arrow Electrocare Corporation/RNT TRADING & ENGINEERING SERVICES , Elektron Energy Solution Corporation ," 1,845,350.00 ", RIV-032368 ,,,,,,,
1/9/2026," Pole, Steel ", General Fund ," MEDCO Technical Services and Electrical Supply Corporation/Kupler Industries, Inc./SANGREE INDUSTRIAL SALES, INC./Caraga Filchin Corporation ", Caraga Filchin Corporation ," 1,146,140.00 ", RIV-032701 ,,,,,,,
1/9/2026," KWH Meter, 240 V, 2W, Electric with Digital Display,CL 100 ", General Fund ," Enex Electric (Phils.), Inc./EDMI Philippines Inc./Sangree Industrial Sales, Inc./Centrade Integrated Sales Corp./Agenture Corporation "," Enex Electric (Phils.), Inc. "," 1,580,000.00 ", RIV-032695 ,,,,,,,
1/13/2026, Laboratory Package/employee , General Fund ," Choice Lab Medical and Diagnostic Clinic/Don Carlos Health Check Diagnostics, Inc./BMS Medical Laboratory "," Don Carlos Health Check Diagnostics, Inc. "," 489,300.00 ", RIV-032833 ,,,,,,,
1/13/2026, Iso Consultancy Services ,General Fund, AGF Consulting Group-Philippines/Arnold Z. David/NOA Philippines Inc. , AGF Consultig Group-Philippines ," 417,100.00 ", RIV-032643 ,,,,,,,
1/14/2026," Bolt, Carriage ",General Fund," Sangree Industrial Sales, Inc./Agenture Corporation/Centrade Integrated Sales Corp./Meter King Incorporated/Communications Electrical Equipment & Supply Co., Inc. "," Sangree Industrial Sales, Inc., Agenture Corporation, Centrade Integrated Sales Corp. "," 36,678.45, 495,000.00, 121,500.00 ", RIV-031836 ,,,,,,,
1/14/2026, Power Transformer oil , General Fund , Smart tech Industrial Sales & Services/LOF trading/518 Industrial Supply/RCCC Trading & Electrical Supply , RCCC Trading & Electrical Supply ," 1,995,840.00 ", RIV-032369 ,,,,,,,
1/27/2026," Transformer, Pole Type, Amorphous, 100 KVA, 7620/240 V ",General Fund," RCCC Trading & Electrical Supply/UP Marketing/Smart tech Industrial Sales & Services/I Build Construction Solutions, Inc./DNQ Electrical Services ", RCCC Trading & Electrical Supply ," 325,800.00 ", RIV-033023 ,,,,,,,
2/6/2026," Transformer, Pole Type, Amorphous, 50 KVA, 7620/240 V ", General Fund ," UP Marketing/Smart tech Industrial Sales & Services/I BUild COnstruction Solutions, Inc./Dnq Electrical Services/RCCC Trading & Electrical Supply ", RCCC Trading & Electrical Supply ," 548,400.00 ", RIV-033110 ,,,,,,,
2/9/2026," Pole, Steel, 30ft, 35ft (Non-Segmented) 3.2 mm. 86 Micron, 500 kgs.(minimum load break),Tip Dia 127mm.Yield Stress 345 mpa. Butt Dia 226 mm. ", General Fund , MEDCO technical Services and Electrical Supply Corporation/EJYM Electrical Supply/Meter King Incorporated/Electrade Industrial Supply , MEDCO Technical Services and Electrical Supply Corporation ," 1,481,200.00 ", RIV-033036 ,,,,,,,
2/10/2026," Camalong Grip, Klein Tools ", General Fund ," AJCM Marketing/Sangree Industrial Sales, Inc./Kupler Industries, Inc. ", AJCM Marketing ," 306,000.00 ", RIV-033247 ,,,,,,,
2/10/2026, Conductor Roller 8" diameter ,General Fund," AJCM Marketing/Sangree Industrial Sales, Inc./Parallel Groove Industrial Corp. ", AJCM Marketing ," 320,000.00 ", RIV-033248 ,,,,,,,
2/13/2026," Pole, Steel ", General Fund ," Electrade Industrial Supply/MEDCO Technical Services and Electrical Supply Corporation/Sangree Industrial Sales, Inc./Meter King Incorporated ", MEDCO Technical Services and Electrical Supply Corporation ," 319,400.00 ", RIV-033108 ,,,,,,,
2/13/2026, Collection Receipt (Power Bill Receipt) , General Fund , New Solid Printing Services/22 Karats Printing and Publishing House/GPH Printer , 22 Karats Printing and Publishing House ," 906,780.00 ", RIV-033144 ,,,,,,,
2/19/2026," Anchor, Expanding, 8,000 Pounds, 4 Way, Galvanized Steel ", General Fund ," Communications Electrical Equipment & Supply Co., Inc./Meter King Incorporated/JCLM Electrical and Industrial Supplies Trading "," Meter King Incorporated, JCLM Electrical and Industrial Supplies Trading "," 260,003.50, 586,249.70 ", RIV-033033 ,,,,,,,
2/20/2026," Link, Fuse, Universal, Bottom Head, Type K ", General Fund ," Centrade Integrated Sales Corp./Kupler Industries, Inc./HI-Temp Builders Corporation ", Centrade Integrated Sales Corp. ," 314,000.00 ", RIV-033215 ,,,,,,,
2/23/2026," Conductor, Bare Wire ", General Fund ," Meter king Incorporated/Communications Electrical Equipment & Supply Co., Inc./JCLM Electrical and Industrial Supplies Trading ", JCLM Electrical and Industrial Supplies Trading ," 821,692.70 ", RIV-033102 ,,,,,,,
2/26/2026, KHW Meter , General Fund ," Pelican Industrial Sales Corporation/Enex Electric (Phils.), Inc./Centrade Integrated Sales Corp./Sangree Industrial Sales, Inc./Kupler Industries, Inc. "," Enex Electric (Phils.), Inc. "," 1,580,000.00 ", RIV-033199 ,,,,,,,
3/2/2026," Anchor, Expanding, 10,000 Pounds, 8 Way, Hot Dip Galvanized Steel ", General Fund ," Meter King Incorporated/JCLM Electrical and Industrial SUpplies Trading/Communications Electrical Equipment & Supply Co., Inc. "," Meter King Incorporated, JCLM Electrical and Industrial Supplies Trading "," 1,035,409.50, 845,554.60 ", RIV-033002 ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
****Nothing Follows****,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Prepared by:,,Checked by:,,Noted by:,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Bernadeth B. Chavez,,Armando A. Cantoy,,"Jemilo L. Pelimer, CPA",,,,,,,,,
BAC Secretariat,,BAC Chairman,,General Manager,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
